"35wVRTJlUu2kDkqXFegOKt",6,"You Might Think","The Cars","Heartbeat City (Expanded Edition)","spotify:track:35wVRTJlUu2kDkqXFegOKt"
"2lFFiNm0XtgJ6wkdncTB4k",4,"Drive - 2017 Remaster","The Cars","Heartbeat City (Expanded Edition)","spotify:track:2lFFiNm0XtgJ6wkdncTB4k"
"5hSFiMCET9CcivGIAFkCJG",7,"She's Got Everything","The Romantics","The Romantics","spotify:track:5hSFiMCET9CcivGIAFkCJG"
"7FwBtcecmlpc1sLySPXeGE",11,"Dancing In the Dark","Bruce Springsteen","Born In The U.S.A.","spotify:track:7FwBtcecmlpc1sLySPXeGE"
"1Ryxsiacu8pUXIMCVnIQ8J",2,"Still The Same","Bob Seger","Stranger In Town","spotify:track:1Ryxsiacu8pUXIMCVnIQ8J"
"1iEr3OkczMbk557RgIMtxm",1,"Redbud Tree","Mark Knopfler","Privateering (Deluxe Version)","spotify:track:1iEr3OkczMbk557RgIMtxm"
"6vxHp3CDNo0afgKGp2yi1E",6,"Me and Julio Down by the Schoolyard","Paul Simon","Paul Simon","spotify:track:6vxHp3CDNo0afgKGp2yi1E"
"4HA2jo7wkMdN1lmLO6ryzE",10,"End Of The Line","Traveling Wilburys","The Traveling Wilburys, Vol. 1","spotify:track:4HA2jo7wkMdN1lmLO6ryzE"
"0wXUUVBlu7BIJTkdRY4eOk",11,"How Long Will I Love You - 2008 Remaster","The Waterboys","Room to Roam (Deluxe Version)","spotify:track:0wXUUVBlu7BIJTkdRY4eOk"
"4ebcE2SmkG7nplvzFAWRu7",6,"What I Like About You","The Romantics","The Romantics","spotify:track:4ebcE2SmkG7nplvzFAWRu7"
"2QlPByrmEO9XciNBXCrawR",1,"Roll With It","Steve Winwood","Roll With It","spotify:track:2QlPByrmEO9XciNBXCrawR"
"5eMjcHVRRh1tbimTgJPoGn",10,"Stay - Remastered","Jackson Browne","Running on Empty (Remastered)","spotify:track:5eMjcHVRRh1tbimTgJPoGn"
"5VbePtZp1at8gH990zVyTI",1,"Hollywood Nights","Bob Seger","Stranger In Town","spotify:track:5VbePtZp1at8gH990zVyTI"
"1SRkKyJ2JjMZgyDWC30zKv",2,"My Best Friend's Girl","The Cars","The Cars","spotify:track:1SRkKyJ2JjMZgyDWC30zKv"
"6hTcuIQa0sxrrByu9wTD7s",5,"Born to Run","Bruce Springsteen","Born To Run","spotify:track:6hTcuIQa0sxrrByu9wTD7s"
"1SWmFiFSIBoDbQJjNKC7SR",6,"Against The Wind","Bob Seger","Against The Wind","spotify:track:1SWmFiFSIBoDbQJjNKC7SR"
"7Gr61S9VTm8fcYfAo4Fd9g",8,"The Pretender","Jackson Browne","The Pretender","spotify:track:7Gr61S9VTm8fcYfAo4Fd9g"
"1zSzJAosfqJugLx7mZl5xt",11,"Keep Me in Your Heart","Warren Zevon","The Wind","spotify:track:1zSzJAosfqJugLx7mZl5xt"
"7HrzErXq3TsKOY1gmdIShB",11,"The River","Bruce Springsteen","The River","spotify:track:7HrzErXq3TsKOY1gmdIShB"
"4TKjQ87mCaNhuhxhgu4U3h",5,"Not Alone Any More","Traveling Wilburys","The Traveling Wilburys, Vol. 1","spotify:track:4TKjQ87mCaNhuhxhgu4U3h"
"35UT9ZB7UROy8W8JvMmzMD",9,"My Shit's Fucked Up","Warren Zevon","Life'll Kill Ya","spotify:track:35UT9ZB7UROy8W8JvMmzMD"
"5HcSxmtgf66je7TNKO1rR9",2,"We Will Not Be Lovers - 2006 Remaster","The Waterboys","Fisherman's Blues","spotify:track:5HcSxmtgf66je7TNKO1rR9"
"14zMkyaYN6TGAFwsB69bz6",1,"Head Over Heels","The Go-Go's","Talk Show","spotify:track:14zMkyaYN6TGAFwsB69bz6"
"5KTuCzrLewl3PuqcHRHhpN",5,"Poor Poor Pitiful Me","Warren Zevon","Warren Zevon","spotify:track:5KTuCzrLewl3PuqcHRHhpN"
"4SlCb8n5Jw52astU7GWPyV",8,"Somebody's Baby","Jackson Browne","The Next Voice You Hear - The Best Of Jackson Browne","spotify:track:4SlCb8n5Jw52astU7GWPyV"
"2HsjJJL4DhPCzMlnaGv7ap",3,"Small Town","John Mellencamp","Scarecrow","spotify:track:2HsjJJL4DhPCzMlnaGv7ap"
"7hIdRDgUBPbqiQ7duhCyux",9,"Carmelita","Warren Zevon","Warren Zevon","spotify:track:7hIdRDgUBPbqiQ7duhCyux"
"0HEC0KkDwxtucNsufufCys",73,"We Are The World - Live","Michael Jackson","Spirito Italiano","spotify:track:0HEC0KkDwxtucNsufufCys"
"1x9iOd3K1JC6tdjGZJpFgZ",6,"You Can Leave Your Hat On","Joe Cocker","Cocker","spotify:track:1x9iOd3K1JC6tdjGZJpFgZ"
