"1HUsvrXLmvKtPnXGI1hfpx",1,"Absolute Future","Fear Before The March Of Flames","The Always Open Mouth","spotify:track:1HUsvrXLmvKtPnXGI1hfpx"
"3UEg21H94jCc4bSMaMpMuc",2,"Drowning The Old Hag","Fear Before The March Of Flames","The Always Open Mouth","spotify:track:3UEg21H94jCc4bSMaMpMuc"
"7ggUIfGX9pgq0hojkCkkKd",3,"Mouth","Fear Before The March Of Flames","The Always Open Mouth","spotify:track:7ggUIfGX9pgq0hojkCkkKd"
"2IVptHHTorfvkWJD2v8JiA",4,"Taking Cassandra to the End of the World Party","Fear Before The March Of Flames","The Always Open Mouth","spotify:track:2IVptHHTorfvkWJD2v8JiA"
"2gKWULeu4oP3WBKwAXIorN",5,"Ten Seconds In Los Angeles","Fear Before The March Of Flames","The Always Open Mouth","spotify:track:2gKWULeu4oP3WBKwAXIorN"
"5AgSmpxPNt31KqUYdVEMPc",6,"The Waiting Makes Me Curious","Fear Before The March Of Flames","The Always Open Mouth","spotify:track:5AgSmpxPNt31KqUYdVEMPc"
"6Rn8JZBw6rOYJyBhiq7U3v",7,"High As A Horse","Fear Before The March Of Flames","The Always Open Mouth","spotify:track:6Rn8JZBw6rOYJyBhiq7U3v"
"0ULO2w2X9awRUJXmEZtAcE",8,"Dog Sized Bird","Fear Before The March Of Flames","The Always Open Mouth","spotify:track:0ULO2w2X9awRUJXmEZtAcE"
"2V3mq6o9EAisW40wPs7oO4",9,"Complete and Utter Confusion...","Fear Before The March Of Flames","The Always Open Mouth","spotify:track:2V3mq6o9EAisW40wPs7oO4"
"4C64st1lYDjzygPcW4curj",10,"...As a Result of Signals Being Crossed","Fear Before The March Of Flames","The Always Open Mouth","spotify:track:4C64st1lYDjzygPcW4curj"
"14ZWz5MHzFeqYDkBi2yF06",11,"My (F***king) Deer Hunter","Fear Before The March Of Flames","The Always Open Mouth","spotify:track:14ZWz5MHzFeqYDkBi2yF06"
"56gcX6HhedQ7V3u6usNROj",12,"Lycanthropy","Fear Before The March Of Flames","The Always Open Mouth","spotify:track:56gcX6HhedQ7V3u6usNROj"
"3Ebj21Ljf6bSjYlI36ZM7d",13,"A Brief Tutorial in Bachanalia (Cigarettes As Currency)","Fear Before The March Of Flames","The Always Open Mouth","spotify:track:3Ebj21Ljf6bSjYlI36ZM7d"
"5jX6J8O3xSYC3PFh0hcFU4",14,"A Gift For Fiction","Fear Before The March Of Flames","The Always Open Mouth","spotify:track:5jX6J8O3xSYC3PFh0hcFU4"
"1n0c4tmNspgFB1Aw9VKQAH",15,"Absolute Past","Fear Before The March Of Flames","The Always Open Mouth","spotify:track:1n0c4tmNspgFB1Aw9VKQAH"
