"5oxYjDtLvjKWWkS2uEgTRj",1,"Tiny Monsters (Violator Mix)","Puscifer","Parole Violator","spotify:track:5oxYjDtLvjKWWkS2uEgTRj"
"55hHjo0mGZ4GovOrDZVlw1",2,"Green Valley (Violator Mix)","Puscifer","Parole Violator","spotify:track:55hHjo0mGZ4GovOrDZVlw1"
"2ngzkQLwl6hoT8ecZEgSNc",3,"Telling Ghosts (Violator Mix)","Puscifer","Parole Violator","spotify:track:2ngzkQLwl6hoT8ecZEgSNc"
"6aGGTbGcUuNmFxSfumMpPU",4,"Toma (Violator Mix)","Puscifer","Parole Violator","spotify:track:6aGGTbGcUuNmFxSfumMpPU"
"0UYG2hOAtW81FYCm30JtvV",5,"Man Overboard (Violator Mix)","Puscifer","Parole Violator","spotify:track:0UYG2hOAtW81FYCm30JtvV"
"5dVu96BdrLNQA3OiZMxFr9",6,"Monsoons (Violator Mix)","Puscifer","Parole Violator","spotify:track:5dVu96BdrLNQA3OiZMxFr9"
"3aX2ROC9ynzRjJEV8s00RW",7,"Oceans (Violator Mix)","Puscifer","Parole Violator","spotify:track:3aX2ROC9ynzRjJEV8s00RW"
"0BE0sQ8rDC0MwEscy08HWr",8,"The Rapture (Violator Mix)","Puscifer","Parole Violator","spotify:track:0BE0sQ8rDC0MwEscy08HWr"
"4DCMC4VeSbvcNgdoSHkkis",9,"The Weaver (Violator Mix)","Puscifer","Parole Violator","spotify:track:4DCMC4VeSbvcNgdoSHkkis"
"2y25YVWD2H4nJMd2KAJc13",10,"Horizons (Violator Mix)","Puscifer","Parole Violator","spotify:track:2y25YVWD2H4nJMd2KAJc13"
"5reRmV6z7HTY4f3e4kMCPb",11,"Conditions of My Parole (Violator Mix)","Puscifer","Parole Violator","spotify:track:5reRmV6z7HTY4f3e4kMCPb"
"7tjo3bevjqv3cjZA49wlXg",12,"Tumbleweed (Violator Mix)","Puscifer","Parole Violator","spotify:track:7tjo3bevjqv3cjZA49wlXg"
