"0jBRcmCXmECzujexuaXUHD",2,"Ring 7 - Industry","The Dear Hunter","Antimai","spotify:track:0jBRcmCXmECzujexuaXUHD"
"144BK5yJKNRH9RcFdWvqzc",3,"Under The Surface","Baby Strange","World Below","spotify:track:144BK5yJKNRH9RcFdWvqzc"
"2L7pjnkuvFtRhCcRZffH8c",8,"If I Die Tomorrow","Jack White","Entering Heaven Alive","spotify:track:2L7pjnkuvFtRhCcRZffH8c"
"1a3QW62QiWewIVU19PD91H",3,"Secrets Of The American Gods","Blind Guardian","Violent Shadows","spotify:track:1a3QW62QiWewIVU19PD91H"
"1IZFqFQamSPJspsLGG2VQe",10,"Babe I'm Gonna Leave You","Beth Hart","A Tribute To Led Zeppelin","spotify:track:1IZFqFQamSPJspsLGG2VQe"
"5ZPLdjKL5uTYHUpMTRMp0N",3,"Survive","Stratovarius","Firefly","spotify:track:5ZPLdjKL5uTYHUpMTRMp0N"
"3OdW4G19mlw8DfiPcDB27b",3,"Natural Born Killer","Highly Suspect","Ice Cold / New California","spotify:track:3OdW4G19mlw8DfiPcDB27b"
"3iEmgajStVBooooNaltdOv",1,"The Retaliators Theme (21 Bullets) (feat. Mötley Crüe, Asking Alexandria, Ice Nine Kills, From Ashes To New)","The Retaliators","The Retaliators Theme Song (21 Bullets) [feat. Motley Crue, Asking Alexandria, Ice Nine Kills, From Ashes To New]","spotify:track:3iEmgajStVBooooNaltdOv"
"73U9TRq2x2yjmXGtpCNF8J",1,"Gnosis","Russian Circles","Gnosis","spotify:track:73U9TRq2x2yjmXGtpCNF8J"
"0UyvpiRpS6aR33jAHweZbL",1,"Black Velvet","Infected Mushroom","Black Velvet","spotify:track:0UyvpiRpS6aR33jAHweZbL"
"7AtPtUAxQYfxZat2u40pZk",1,"To Disappear in You","Lacrimas Profundere","To Disappear in You","spotify:track:7AtPtUAxQYfxZat2u40pZk"
"2FQPFd0lhE9UEcjRHZyvQR",2,"We Strive for Excellence","Clutch","Slaughter Beach","spotify:track:2FQPFd0lhE9UEcjRHZyvQR"
"6xIjeKYMabUXX7NgEU85nJ",1,"If There's A God She Has Abandoned Us","Oceans","If There's A God She Has Abandoned Us","spotify:track:6xIjeKYMabUXX7NgEU85nJ"
"1tabPhoqhhwUcJHqnS00V4",1,"That Boy on the Stage","Suede","That Boy on the Stage","spotify:track:1tabPhoqhhwUcJHqnS00V4"
"35KE7MnnPknr9i0AjXhrSs",1,"Still Alive","Noise Unit","Still Alive","spotify:track:35KE7MnnPknr9i0AjXhrSs"
"5vTLv5kSr0YjuZp5RnsteJ",1,"If I Was The Captain Of This Ship","Madrugada","If I Was The Captain Of This Ship","spotify:track:5vTLv5kSr0YjuZp5RnsteJ"
"2SkKtjkUpRFVvz5nu3FyE8",2,"Ice Cold","Highly Suspect","Midnight Demon Club","spotify:track:2SkKtjkUpRFVvz5nu3FyE8"
"520DhtZ5q41OTmUunn2VIR",3,"State of Slow Decay","In Flames","Foregone, Pt. 1","spotify:track:520DhtZ5q41OTmUunn2VIR"
"2yUSMZSWg0BPxmUO8E3DvJ",2,"Firefly","Stratovarius","Frozen in Time","spotify:track:2yUSMZSWg0BPxmUO8E3DvJ"
"4KyPlGyV6lfxOPHfBQpPZm",1,"Pain Remains I: Dancing Like Flames","Lorna Shore","Pain Remains I: Dancing Like Flames","spotify:track:4KyPlGyV6lfxOPHfBQpPZm"
"5GWrhVfgP4szBtCOXbSki8",1,"Eddie","Red Hot Chili Peppers","Eddie","spotify:track:5GWrhVfgP4szBtCOXbSki8"
"2yZtYCbALjzSYpLTrxtpJt",1,"What They Call Us","Fever Ray","What They Call Us","spotify:track:2yZtYCbALjzSYpLTrxtpJt"
"7IdokqA3qA9qRFPsdjllTJ",1,"Zveroboi","Theodor Bastard","Zveroboi","spotify:track:7IdokqA3qA9qRFPsdjllTJ"
"1otm78jdIqQu5qjJPf2jZb",1,"The Well","Amorphis","The Well","spotify:track:1otm78jdIqQu5qjJPf2jZb"
"0hNj7wvoHniR9BkKibAEXc",3,"A Wonderful Crisis","In The Woods...","Master of None","spotify:track:0hNj7wvoHniR9BkKibAEXc"
