"2RM5Lx7VIp6GrLRsg2yXwW",1,"Austerity","Katatonia","Sky Void of Stars","spotify:track:2RM5Lx7VIp6GrLRsg2yXwW"
"5FVFwjpC20OGjApOhPacVi",8,"Sclera","Katatonia","Sky Void of Stars","spotify:track:5FVFwjpC20OGjApOhPacVi"
"57oPzGWcjklkbwX1Zxu3aI",5,"Drab Moon","Katatonia","Sky Void of Stars","spotify:track:57oPzGWcjklkbwX1Zxu3aI"
"0ZEigpVOtVunIcimL7dJuh",4,"My Twin","Katatonia","The Great Cold Distance","spotify:track:0ZEigpVOtVunIcimL7dJuh"
"6so9YJvjM64MmoxyPchqWq",8,"Water's Edge","Daylight Dies","A Frail Becoming","spotify:track:6so9YJvjM64MmoxyPchqWq"
"55J5F2XC6dlyyjURsYlSyi",8,"Dismantling Devotion","Daylight Dies","Dismantling Devotion","spotify:track:55J5F2XC6dlyyjURsYlSyi"
"5cfe277hqv4FEIZ58yEj58",1,"Suffocated","Ghost Brigade","Isolation Songs","spotify:track:5cfe277hqv4FEIZ58yEj58"
"0odP7kGN6Rw9NKgPxUkLpq",1,"In the Woods","Ghost Brigade","Until Fear No Longer Defines Us","spotify:track:0odP7kGN6Rw9NKgPxUkLpq"
"2dEvdJpHayiDkgqY8LYMyP",9,"Secrets of the Earth","Ghost Brigade","Isolation Songs","spotify:track:2dEvdJpHayiDkgqY8LYMyP"
"3vBbCLBmaeVO1n7Ac8ZfNW",2,"Departures","Ghost Brigade","Iv: One with the Storm","spotify:track:3vBbCLBmaeVO1n7Ac8ZfNW"
"34V0D8JX6DxRCMMvv343L1",3,"Into The Black Light","Ghost Brigade","Isolation Songs","spotify:track:34V0D8JX6DxRCMMvv343L1"
"56lB12ArDwxgOlWxJ57EII",5,"22:22 - Nihil","Ghost Brigade","Isolation Songs","spotify:track:56lB12ArDwxgOlWxJ57EII"
"0HOzDQkixIbysuYXxonLTE",1,"My Requiem","Trees of Eternity","Hour of the Nightingale","spotify:track:0HOzDQkixIbysuYXxonLTE"
"7tV0hn2It9xiKGwq8mKHrP",6,"The Passage","Trees of Eternity","Hour of the Nightingale","spotify:track:7tV0hn2It9xiKGwq8mKHrP"
"5QERtYM6aZMei0ITheYQQ8",7,"Broken Mirror","Trees of Eternity","Hour of the Nightingale","spotify:track:5QERtYM6aZMei0ITheYQQ8"
"5GDtPTEoZ8xGdmjYFULKvR",2,"Eye of Night","Trees of Eternity","Hour of the Nightingale","spotify:track:5GDtPTEoZ8xGdmjYFULKvR"
"7vbEL5ShK2IxblO2KTQEcB",5,"Hour of the Nightingale","Trees of Eternity","Hour of the Nightingale","spotify:track:7vbEL5ShK2IxblO2KTQEcB"
"57bDYTidJDNZJjCjXCTXLD",9,"Sinking Ships","Trees of Eternity","Hour of the Nightingale","spotify:track:57bDYTidJDNZJjCjXCTXLD"
"3tAysmonAEmCF67blMYWo5",3,"Condemned to Silence","Trees of Eternity","Hour of the Nightingale","spotify:track:3tAysmonAEmCF67blMYWo5"
"2c04fNzs8vGouIF4wCWWKq",1,"My Still Haven","Shamrain","Lost Goodbyes","spotify:track:2c04fNzs8vGouIF4wCWWKq"
"1q6HZ83j8UwgO9ikxtJXmb",4,"Passing Shadows","Shamrain","Goodbye To All That","spotify:track:1q6HZ83j8UwgO9ikxtJXmb"
"1qcxdQUQ4nljA7pHJBX3Yc",3,"To Leave","Shamrain","Someplace Else","spotify:track:1qcxdQUQ4nljA7pHJBX3Yc"
"5sG7w4b1DmDbbPuwKSsvD6",4,"Drifter","Shamrain","Empty World Excursion","spotify:track:5sG7w4b1DmDbbPuwKSsvD6"
"2D2abZ261UcWvguDsJozFk",5,"Slow Motions","Shamrain","Someplace Else","spotify:track:2D2abZ261UcWvguDsJozFk"
"3cdltA7cMHzAllcu9OBrAH",9,"No One Remebers Your Name","Shamrain","Goodbye To All That","spotify:track:3cdltA7cMHzAllcu9OBrAH"
"7lM2nQRyh9XDV0Ohy3DG8v",2,"Solar Child - 2020 Remaster","Celestial Season","Solar Lovers (2020 Remaster)","spotify:track:7lM2nQRyh9XDV0Ohy3DG8v"
