"Tears Don't Fall","Bullet For My Valentine","The Poison","2025-02-18T22:39:13Z","5pKCDm2fw4k6D6C5Rk646C"
"Meon","Archive","You All Look the Same to Me","2025-02-17T13:24:59Z","5c1HBe5K3MIKyM9dfWMmDe"
"Waste","Archive","Noise","2025-02-16T14:16:04Z","4BmbMUTxyFteQ0LXbaz20C"
"Fool","Archive","You All Look The Same To Me","2025-02-16T14:05:14Z","6oVoJNuhfoNOOoEssHb2a5"
"Finding It So Hard","Archive","You All Look The Same To Me","2025-02-16T13:50:45Z","0j95bTGeIc7nAW4CVXJjgj"
"Meon","Archive","You All Look The Same To Me","2025-02-16T13:35:50Z","1aubudgfCQF412dYbDYLu5"
"Noise","Archive","Noise","2025-02-16T13:25:01Z","3nXvIuk1YReY5t6p5IG7Nb"
"Get Out","Archive","Noise","2025-02-16T13:02:19Z","3tFWS1uF7qvwwDSAL3IrL4"
"Critical Thinking","Manic Street Preachers","Critical Thinking","2025-02-16T11:37:47Z","0Cxfp9zhoJAUpzxzvUPiuL"
"In Remembrance","Tribulation","Where the Gloom Becomes Sound","2025-02-15T19:24:07Z","5vKD3aZp4IEARJcltpU9lX"
"Enjoy the Silence - cover version","Lacuna Coil","Karmacode","2025-02-15T18:45:09Z","71KtwiEpzcn9WxwlaS7ZJY"
"Gravity","Lacuna Coil","Sleepless Empire","2025-02-15T17:25:05Z","1ipx7qJSnTuFuPGnPnLWp8"
"Oxygen","Lacuna Coil","Sleepless Empire","2025-02-15T17:14:55Z","4EsCBMrhAjCNu84DAo1tOn"
"Ultra Silvam","Tribulation","The Formulas of Death","2025-02-15T07:38:09Z","0XLZZXTDGaMJ84U6THo9gH"
"Murder in Red","Tribulation","Sub Rosa In Æternum","2025-02-14T19:58:16Z","6oqarx2Ko1noPlNrGf6SUL"
"Saturn Coming Down","Tribulation","Sub Rosa In Æternum","2025-02-14T19:45:44Z","6FbtCp0RDbRPieibOLSvJs"
"Tainted Skies","Tribulation","Sub Rosa In Æternum","2025-02-14T19:30:25Z","1NsxBZK0a5ALFNfJzEHVuO"
"One Track Mind","Motörhead","Another Perfect Day","2025-02-14T17:29:29Z","5maKhJj0TAJTP5pOo2c34d"
"Shine","Motörhead","Another Perfect Day","2025-02-14T17:17:43Z","2dKr3NJBtXCmGFUrRsOcob"
"Brushstrokes of Reunion","Manic Street Preachers","Critical Thinking","2025-02-14T13:01:20Z","66qncZVw1lvr4fuqOoJHfc"
"The Lament","Tribulation","Down Below","2025-02-14T06:44:42Z","2dq0irHRcZsjLbNsLj6KOg"
